sName,sSymbol,eligble voters,voters,droped,valid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,district,subdistrict,Natural area,Municipal status,Metropolitan affiliation,religion,Total Population 2018,Jews and others,Thereof: Jews,Arabs,Founding year,Current type of locality,Organizational affiliation,Coordinates,height,Planning Commission,Police space,year,Cluster Local Authorities
Rosh Pinna,26,2404,1730,3,1727,0,380,0,0,0,98,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,13,0,0,63,0,1,0,0,0,430,0,0,0,663,19,17,0,33,0,0,0,2,21,213.0,99.0,0.0,1.0,3120.0,3081.0,3007.0,39.0,1882,190,0.0,2510676379.0,150.0,259.0,10004540.0,2018,211.0
Sedot Mikha,27,268,187,1,186,0,7,0,0,0,10,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,76,0,0,0,10,52,4,0,5,0,0,0,1,11,112.0,26.0,0.0,1.0,391.0,391.0,390.0,0.0,1955,310,1.0,1925462543.0,197.0,151.0,15000597.0,2018,0.0
Mazkeret Batya,28,10432,7973,28,7945,5,1038,0,0,1,557,36,2,0,0,1,0,0,1,0,8,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,357,1,6,1,0,0,2121,0,0,0,3457,173,35,0,130,1,0,0,4,44,441.0,99.0,143.0,1.0,14680.0,14670.0,14473.0,10.0,1883,170,0.0,1852963987.0,53.0,453.0,10002241.0,2018,0.0
Yesud HaMa'ala,29,1230,874,7,867,1,133,0,0,0,58,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36,0,0,0,0,0,175,0,0,0,443,7,3,0,3,0,0,0,2,21,211.0,99.0,0.0,1.0,1719.0,1719.0,1681.0,0.0,1883,350,0.0,2566377358.0,69.0,259.0,10004540.0,2018,211.0
Ofaqim,31,21413,14236,134,14102,3,541,0,0,0,606,14,8,0,0,1,0,0,3,0,15,0,0,5,1,0,5,2,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,12,0,1,1216,1,10,2,0,0,4886,0,0,0,980,3217,2202,0,365,2,0,0,6,62,622.0,0.0,0.0,1.0,29021.0,28820.0,26936.0,201.0,1955,160,0.0,1638257979.0,113.0,601.0,10001893.0,2018,620.0
Ozem,32,434,344,2,342,0,6,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,109,0,0,0,8,191,5,0,7,0,0,0,6,61,612.0,50.0,0.0,1.0,642.0,639.0,639.0,3.0,1955,310,1.0,1719761616.0,79.0,634.0,10001813.0,2018,0.0
Bat Shelomo,33,435,338,0,338,0,90,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,47,0,0,0,161,5,2,0,4,0,0,0,3,32,322.0,15.0,243.0,1.0,651.0,651.0,635.0,0.0,1889,310,7.0,2005972291.0,59.0,303.0,10004333.0,2018,0.0
Gadot,35,371,242,1,241,0,79,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,1,0,0,0,10,0,0,0,140,0,0,0,1,0,0,0,2,21,213.0,1.0,0.0,1.0,441.0,441.0,390.0,0.0,1949,330,15.0,2582276940.0,97.0,253.0,10004540.0,2018,211.0
Sede Dawid,36,415,314,1,313,0,14,0,0,0,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,142,0,0,0,57,50,5,0,7,0,0,0,6,61,612.0,50.0,0.0,1.0,547.0,547.0,538.0,0.0,1955,310,6.0,1700060943.0,82.0,634.0,10001813.0,2018,0.0
Etan,37,354,281,0,281,1,2,0,0,0,25,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,7,44,9,0,43,0,0,0,6,61,612.0,34.0,0.0,1.0,456.0,456.0,454.0,0.0,1955,310,2.0,1761460898.0,150.0,631.0,10001813.0,2018,0.0
Gefen,39,266,213,2,211,0,7,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,109,0,0,0,16,52,6,0,2,0,0,0,1,11,112.0,26.0,0.0,1.0,405.0,405.0,401.0,0.0,1955,310,2.0,1885762761.0,140.0,151.0,15000597.0,2018,0.0
Elyakhin,41,2595,1983,11,1972,0,116,0,0,0,131,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,0,4,0,0,0,954,0,0,0,338,266,43,0,52,1,0,0,4,41,411.0,99.0,141.0,1.0,3486.0,3483.0,3446.0,3.0,1950,190,0.0,1931870156.0,25.0,457.0,10004261.0,2018,0.0
Metula,43,1416,837,4,833,1,152,0,0,0,33,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,1,0,0,0,140,0,0,0,433,9,3,0,10,0,0,0,2,21,211.0,99.0,0.0,1.0,1599.0,1534.0,1463.0,65.0,1896,350,0.0,2541579817.0,260.0,259.0,10004591.0,2018,211.0
Zohar,44,265,199,0,199,0,7,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,119,0,0,0,23,22,8,0,1,0,0,0,6,61,612.0,50.0,0.0,1.0,359.0,359.0,357.0,0.0,1956,310,10.0,1708861156.0,109.0,634.0,10001813.0,2018,0.0
Yavne'el,46,2496,1787,5,1782,0,73,0,0,0,58,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,1,29,0,3,0,0,0,410,0,0,0,308,741,66,0,76,1,0,0,2,22,222.0,99.0,0.0,1.0,4294.0,4293.0,4235.0,1.0,1901,190,0.0,2477973510.0,-127.0,251.0,10004552.0,2018,0.0
Kefar Tavor,47,3343,2435,3,2432,0,335,0,0,0,136,3,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,130,0,1,0,0,0,549,0,0,0,1212,23,6,0,17,0,0,0,2,22,222.0,99.0,0.0,1.0,4262.0,4249.0,4155.0,13.0,1901,190,0.0,2397273250.0,20.0,251.0,10004394.0,2018,214.0
Menahemya,48,932,593,2,591,0,47,0,0,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,22,0,0,1,0,0,269,0,0,0,162,17,16,0,21,1,0,0,2,23,231.0,7.0,0.0,1.0,1032.0,1030.0,1001.0,2.0,1902,350,0.0,2523473022.0,-240.0,202.0,10004568.0,2018,214.0
Ilaniyya,49,460,310,0,310,0,34,0,0,0,18,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,102,0,0,0,121,3,1,0,3,0,0,0,2,22,222.0,3.0,0.0,1.0,490.0,484.0,463.0,6.0,1902,310,10.0,2384773998.0,199.0,206.0,10004552.0,2018,214.0
Luzit,52,451,340,1,339,0,30,0,0,0,22,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,1,0,0,0,137,0,0,0,63,51,8,0,6,0,0,0,1,11,112.0,26.0,0.0,1.0,763.0,761.0,750.0,2.0,1955,310,1.0,1893262158.0,170.0,151.0,15000597.0,2018,0.0
Atlit,53,5675,4063,24,4039,0,461,0,0,3,157,2,1,0,0,0,0,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,20,0,0,175,0,2,1,0,0,1392,0,0,0,1551,175,38,0,50,0,0,0,3,32,321.0,15.0,223.0,1.0,8047.0,7977.0,7752.0,70.0,1904,180,0.0,1948973295.0,4.0,303.0,10004710.0,2018,0.0
Nogah,55,407,279,1,278,0,20,0,0,0,13,79,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,111,0,0,0,28,15,0,0,4,0,0,0,6,61,612.0,50.0,0.0,1.0,558.0,558.0,553.0,0.0,1955,310,1.0,1710861476.0,100.0,634.0,10001813.0,2018,0.0
Kinneret(Qevuza),57,632,439,0,439,0,115,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,45,0,0,0,248,0,0,0,5,0,0,0,2,22,221.0,6.0,0.0,1.0,687.0,687.0,658.0,0.0,1908,330,15.0,2529873551.0,-199.0,214.0,10004552.0,2018,214.0
Mizpa,58,136,94,0,94,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,20,0,0,0,53,0,0,0,0,0,0,0,2,22,222.0,3.0,0.0,1.0,141.0,141.0,139.0,0.0,1908,350,0.0,2480474397.0,60.0,206.0,10004552.0,2018,214.0
Nehusha,59,769,596,3,593,0,15,0,0,0,340,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,119,0,0,0,48,23,9,0,35,0,0,0,1,11,112.0,26.0,444.0,1.0,1371.0,1371.0,1369.0,0.0,1982,310,2.0,1957061535.0,377.0,151.0,15000597.0,2018,0.0
Deganya Alef,62,514,335,0,335,0,126,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,20,0,0,0,178,1,0,0,1,0,0,0,2,22,221.0,6.0,0.0,1.0,538.0,537.0,535.0,1.0,1909,330,15.0,2541873489.0,-203.0,214.0,10004552.0,2018,214.0
Kinneret(Moshava),63,522,363,2,361,0,54,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,110,0,0,0,170,0,3,0,0,0,0,0,2,22,221.0,6.0,0.0,1.0,688.0,672.0,656.0,16.0,1909,350,0.0,2532473678.0,-213.0,251.0,10004552.0,2018,214.0
Yad Rambam,64,848,638,0,638,0,28,0,0,0,35,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,328,0,0,0,83,68,9,0,14,0,0,0,4,43,432.0,30.0,143.0,1.0,1094.0,1094.0,1071.0,0.0,1955,310,2.0,1907264528.0,70.0,426.0,10002228.0,2018,0.0
Migdal,65,1390,914,4,910,0,43,0,0,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,22,0,1,0,0,0,465,0,0,0,106,143,28,0,43,1,0,0,2,22,221.0,99.0,0.0,1.0,1941.0,1892.0,1835.0,49.0,1910,350,0.0,2475774923.0,-215.0,251.0,10004552.0,2018,214.0
Merhavya(Qibbuz),66,891,639,2,637,0,167,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,43,0,0,0,0,0,117,0,0,0,277,5,1,0,6,1,0,0,2,23,234.0,9.0,0.0,1.0,1232.0,1232.0,1095.0,0.0,1911,330,15.0,2291072355.0,50.0,254.0,10004394.0,2018,213.0
Or HaNer,67,614,473,1,472,0,147,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,0,0,23,0,0,0,274,0,0,0,0,0,0,0,6,61,614.0,37.0,0.0,1.0,754.0,754.0,726.0,0.0,1957,330,15.0,1620260736.0,44.0,651.0,10001829.0,2018,620.0
Nir Oz,69,325,225,1,224,0,104,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,13,0,0,0,96,1,0,0,0,0,0,0,6,62,622.0,38.0,0.0,1.0,392.0,391.0,373.0,1.0,1955,330,15.0,1430758018.0,100.0,651.0,10001893.0,2018,620.0
Ashdod,70,178302,116800,808,115992,18,3868,0,0,22,3689,171,33,0,0,11,0,0,21,0,88,0,0,32,2,0,43,22,0,0,0,0,0,0,9,0,0,68,11,0,0,0,0,0,35,0,15,20902,11,89,14,0,0,36221,0,0,0,18956,16300,13627,0,1703,11,0,0,6,61,613.0,0.0,143.0,1.0,224628.0,224328.0,201388.0,300.0,1955,130,0.0,1668963375.0,-14.0,603.0,10001836.0,2018,0.0
Eshbol,71,408,313,0,313,0,43,0,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,136,0,0,0,68,25,1,0,7,0,0,0,6,62,621.0,42.0,0.0,1.0,635.0,635.0,631.0,0.0,1955,310,1.0,1683959504.0,158.0,651.0,10001930.0,2018,620.0
Gan Shemu'el,72,875,684,0,684,0,357,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,9,0,0,0,309,0,0,0,0,0,0,0,3,32,324.0,14.0,0.0,1.0,929.0,928.0,909.0,1.0,1913,330,15.0,1955870649.0,16.0,351.0,10004261.0,2018,0.0
En Hod,74,496,358,1,357,0,143,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,12,0,0,0,0,0,17,0,0,0,166,0,2,0,0,0,0,0,3,32,322.0,15.0,243.0,1.0,632.0,630.0,596.0,2.0,1954,370,19.0,1987073396.0,66.0,303.0,10004333.0,2018,0.0
Kefar Gil'adi,76,567,355,0,355,0,98,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,18,0,0,0,213,2,1,0,1,0,0,0,2,21,211.0,1.0,0.0,1.0,676.0,675.0,630.0,1.0,1916,330,15.0,2539579418.0,257.0,253.0,10004591.0,2018,211.0
Ayyelet HaShahar,77,814,567,1,566,1,183,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,44,0,0,0,291,1,3,0,0,0,0,0,2,21,211.0,1.0,0.0,1.0,1134.0,1134.0,1082.0,0.0,1918,330,15.0,2541976987.0,143.0,253.0,10004540.0,2018,211.0
Qiryat Anavim,78,306,209,0,209,0,79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,17,0,0,0,100,1,1,0,0,0,0,0,1,11,111.0,26.0,444.0,1.0,459.0,451.0,414.0,8.0,1920,330,15.0,2114063531.0,631.0,151.0,10002475.0,2018,0.0
Deganya Bet,79,556,404,2,402,0,132,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,31,0,0,0,220,0,2,0,1,0,0,0,2,22,221.0,6.0,0.0,1.0,655.0,655.0,646.0,0.0,1920,330,15.0,2542173403.0,-210.0,214.0,10004552.0,2018,214.0
Nahalal,80,742,560,2,558,0,117,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,0,1,0,0,0,46,0,0,0,356,1,1,0,0,0,0,0,2,23,234.0,9.0,0.0,1.0,895.0,892.0,856.0,3.0,1921,310,1.0,2187373287.0,50.0,254.0,10004411.0,2018,213.0
En Harod(Me'uhad),82,674,497,0,497,0,183,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,22,0,0,0,252,1,4,0,1,0,0,0,2,23,232.0,8.0,0.0,1.0,733.0,733.0,717.0,0.0,1921,330,15.0,2370271825.0,-51.0,204.0,10004394.0,2018,213.0
Tel Yosef,84,372,275,3,272,0,90,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,9,0,0,0,155,2,0,0,0,0,0,0,2,23,232.0,8.0,0.0,1.0,549.0,549.0,537.0,0.0,1921,330,15.0,2377871801.0,-51.0,204.0,10004394.0,2018,213.0
Kefar Yehezqel,85,729,585,0,585,0,113,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,28,0,1,0,0,0,57,0,0,0,357,2,0,0,4,0,0,0,2,23,232.0,8.0,0.0,1.0,1176.0,1173.0,1138.0,3.0,1921,310,1.0,2340571922.0,-24.0,204.0,10004394.0,2018,213.0
Geva,86,522,380,0,380,0,175,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,11,0,0,0,185,0,0,0,0,0,0,0,2,23,232.0,8.0,0.0,1.0,628.0,628.0,612.0,0.0,1921,330,15.0,2351971912.0,-7.0,204.0,10004394.0,2018,213.0
En Harod (Ihud),89,519,376,1,375,0,100,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,1,0,0,0,15,0,0,0,236,0,1,0,2,0,0,0,2,23,232.0,8.0,0.0,1.0,556.0,556.0,545.0,0.0,1921,330,15.0,2369971883.0,6.0,204.0,10004394.0,2018,213.0
Hefzi-Bah,90,566,432,1,431,0,127,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,68,0,0,0,209,2,0,0,1,0,0,0,2,23,232.0,8.0,0.0,1.0,741.0,741.0,715.0,0.0,1922,330,15.0,2402171382.0,-89.0,204.0,10004568.0,2018,213.0
Ginnegar,92,536,384,2,382,0,145,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,31,0,0,0,187,0,0,0,2,0,0,0,2,23,234.0,9.0,0.0,1.0,707.0,690.0,665.0,17.0,1922,330,15.0,2244572993.0,79.0,254.0,10004411.0,2018,213.0
Balfurya,94,393,322,0,322,0,50,0,0,0,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,51,0,0,0,156,4,3,0,3,0,0,0,2,23,234.0,9.0,0.0,1.0,512.0,512.0,505.0,0.0,1922,310,1.0,2280872620.0,70.0,254.0,10004394.0,2018,213.0
Bet Alfa,95,592,425,3,422,0,156,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,8,0,1,0,0,0,12,0,0,0,222,5,4,0,1,0,0,0,2,23,232.0,8.0,0.0,1.0,692.0,690.0,646.0,2.0,1922,330,15.0,2407871368.0,-93.0,204.0,10004568.0,2018,213.0
Yagur,96,1343,936,2,934,0,328,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,23,0,0,0,0,0,44,0,0,0,519,1,2,0,2,0,0,0,3,31,311.0,12.0,223.0,1.0,1604.0,1604.0,1501.0,0.0,1922,330,15.0,2075573859.0,7.0,301.0,10004207.0,2018,0.0
Merhavya(Moshav),97,563,429,5,424,0,67,0,0,0,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,65,0,0,0,229,3,5,0,4,0,0,0,2,23,234.0,9.0,0.0,1.0,660.0,660.0,653.0,0.0,1922,310,1.0,2299872327.0,40.0,254.0,10004394.0,2018,213.0
Kefar Malal,98,285,232,0,232,0,60,0,0,0,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,31,0,0,0,101,0,0,0,2,0,0,0,4,42,421.0,20.0,131.0,1.0,328.0,328.0,322.0,0.0,1922,310,1.0,1901767499.0,50.0,417.0,10002133.0,2018,0.0
