sName,sSymbol,eligble voters,voters,droped,valid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,district,subdistrict,Natural area,Municipal status,Metropolitan affiliation,religion,Total Population 2018,Jews and others,Thereof: Jews,Arabs,Founding year,Current type of locality,Organizational affiliation,Coordinates,height,Planning Commission,Police space,year,Cluster Local Authorities
Avtalyon,1275,308,233,0,233,0,35,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,25,0,0,10,142,0,0,0,0,0,0,0,2,24,241.0,56.0,0.0,1.0,470.0,470.0,450.0,0.0,1987,370,10.0,2331474908.0,308.0,205.0,10004513.0,2018,210.0
Avi'el,679,519,413,0,413,0,49,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,107,0,0,1,225,3,4,0,1,0,0,0,3,32,324.0,45.0,0.0,1.0,815.0,815.0,799.0,0.0,1949,310,9.0,1996171533.0,30.0,351.0,10004333.0,2018,0.0
Avivim,1115,332,246,0,246,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,4,61,4,0,0,0,0,0,2,21,212.0,2.0,0.0,1.0,477.0,477.0,476.0,0.0,1960,310,1.0,2444177707.0,668.0,209.0,10004528.0,2018,211.0
Avigedor,819,617,488,4,484,0,62,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,55,0,0,0,326,6,0,0,0,0,0,0,6,61,611.0,33.0,143.0,1.0,820.0,820.0,813.0,0.0,1950,310,1.0,1757362428.0,55.0,616.0,10001821.0,2018,420.0
Avihayil,175,983,734,1,733,0,82,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,0,0,0,0,0,115,0,0,0,491,7,2,0,1,0,0,0,4,41,411.0,16.0,141.0,1.0,1410.0,1410.0,1375.0,0.0,1932,310,1.0,1880869527.0,20.0,409.0,10002089.0,2018,0.0
Avital,2052,417,330,0,330,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,240,0,0,0,29,23,10,0,4,0,0,0,2,23,234.0,8.0,0.0,1.0,502.0,501.0,501.0,1.0,1953,310,1.0,2291271816.0,68.0,204.0,10004394.0,2018,213.0
Avi'ezer,1070,577,445,0,445,0,32,0,0,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,21,0,0,0,0,0,196,0,0,0,139,15,1,0,3,0,0,0,1,11,112.0,26.0,444.0,1.0,865.0,865.0,857.0,0.0,1958,310,2.0,2016662104.0,329.0,151.0,15000597.0,2018,0.0
Abbirim,1220,210,160,1,159,0,58,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,7,0,0,0,82,2,0,0,1,0,0,0,2,24,244.0,52.0,0.0,1.0,227.0,227.0,211.0,0.0,1980,370,19.0,2271577149.0,541.0,255.0,10004484.0,2018,212.0
Even Yehuda,182,9935,7569,27,7542,1,725,0,0,0,202,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,190,2,1,0,0,0,1862,0,0,2,4298,149,51,0,19,0,0,0,4,41,411.0,99.0,141.0,1.0,13700.0,13698.0,13495.0,2.0,1932,170,0.0,1894468643.0,10.0,457.0,15000060.0,2018,0.0
Even Menahem,1081,281,193,0,193,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125,0,0,0,33,20,0,0,1,0,0,0,2,24,244.0,52.0,0.0,1.0,297.0,297.0,293.0,0.0,1960,310,1.0,2278277545.0,550.0,255.0,10004302.0,2018,212.0
Even Sappir,783,497,351,2,349,0,19,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,219,0,0,0,73,13,0,0,2,0,0,0,1,11,111.0,26.0,444.0,1.0,724.0,722.0,704.0,2.0,1950,310,1.0,2128463002.0,571.0,151.0,10002521.0,2018,0.0
Even Shemu'el,400,912,787,2,785,0,4,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,1,13,87,27,0,6,0,0,0,6,61,612.0,34.0,0.0,1.0,1675.0,1675.0,1673.0,0.0,1956,350,0.0,1775460940.0,150.0,631.0,10001813.0,2018,0.0
Avne Etan,4011,402,311,0,311,0,4,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,92,0,0,0,23,9,5,0,17,1,0,0,2,29,294.0,71.0,0.0,1.0,714.0,714.0,714.0,0.0,1978,310,2.0,2719674774.0,346.0,219.0,10004579.0,2018,211.0
Avne Hefez,3793,1107,882,1,881,0,2,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,4,94,20,0,23,0,0,0,7,73,0.0,72.0,0.0,1.0,1895.0,1895.0,1883.0,0.0,1990,370,11.0,2070868793.0,143.0,710.0,10003262.0,2018,0.0
Avshalom,1311,250,158,1,157,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,41,0,0,1,35,0,2,0,0,0,0,0,6,62,622.0,38.0,0.0,1.0,274.0,274.0,196.0,0.0,1990,370,10.0,1361956745.0,89.0,651.0,10001893.0,2018,620.0
Adora,3759,246,191,0,191,0,5,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,72,0,0,1,32,3,4,0,9,0,0,0,7,77,0.0,78.0,0.0,1.0,440.0,440.0,434.0,0.0,1984,370,9.0,2016960665.0,552.0,715.0,15003512.0,2018,0.0
Addirim,113,233,183,0,183,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,10,58,1,0,2,0,0,0,2,23,234.0,8.0,0.0,1.0,279.0,279.0,278.0,0.0,1956,310,1.0,2257971719.0,69.0,204.0,10004394.0,2018,213.0
Adamit,1068,354,195,0,195,0,56,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,18,0,0,0,0,0,36,0,0,1,65,1,0,0,0,0,0,0,2,24,244.0,4.0,0.0,1.0,209.0,209.0,183.0,0.0,1958,330,15.0,2199777600.0,409.0,201.0,10004302.0,2018,212.0
Adderet,1123,570,409,1,408,0,13,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,238,0,0,1,53,46,4,0,3,0,0,0,1,11,112.0,26.0,444.0,1.0,848.0,848.0,848.0,0.0,1961,310,1.0,1995861869.0,396.0,151.0,15000597.0,2018,0.0
Udim,446,807,615,1,614,1,84,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,19,0,0,0,0,0,89,0,0,0,396,9,1,0,1,0,0,0,4,41,411.0,19.0,141.0,1.0,1375.0,1375.0,1338.0,0.0,1948,310,10.0,1858268581.0,10.0,401.0,15000060.0,2018,0.0
Odem,4010,121,89,0,89,0,10,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,14,0,0,0,54,1,0,0,1,0,0,0,2,29,292.0,71.0,0.0,1.0,139.0,139.0,136.0,0.0,1976,320,6.0,2702878880.0,1019.0,219.0,10004579.0,2018,211.0
Ohad,1046,267,185,0,185,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,81,0,0,0,73,6,0,0,0,0,0,0,6,62,622.0,38.0,0.0,1.0,407.0,389.0,387.0,18.0,1969,310,1.0,1458057199.0,131.0,651.0,10001893.0,2018,620.0
Umm al-Fahm,2710,35711,22535,126,22409,0,88,2,0,0,7,0,1,0,0,1,2,0,0,18,0,0,1,12,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,13,22079,0,4,4,3,1,0,0,1,64,0,6,2,65,12,1,0,3,4,0,0,3,32,323.0,0.0,0.0,2.0,55182.0,44.0,21.0,55138.0,0,250,0.0,2145171399.0,139.0,354.0,10004249.0,2018,0.0
Umm Al-Qutuf,2024,717,580,1,579,0,10,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,3,32,323.0,14.0,0.0,2.0,1093.0,0.0,0.0,1093.0,0,450,0.0,2055370835.0,89.0,351.0,10004233.0,2018,0.0
Umm Batin,1358,2011,1158,8,1150,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1125,0,3,0,0,1,0,0,0,5,0,0,0,5,3,0,0,1,0,0,0,6,62,623.0,69.0,342.0,2.0,4093.0,13.0,12.0,4080.0,0,290,0.0,1886757656.0,310.0,624.0,10001937.0,2018,610.0
Omen,1108,367,231,0,231,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0,135,0,0,0,41,6,4,0,0,0,0,0,2,23,234.0,8.0,0.0,1.0,368.0,368.0,342.0,0.0,1958,350,0.0,2230271878.0,64.0,204.0,10004394.0,2018,213.0
Omez,680,512,388,0,388,0,56,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,57,0,0,0,258,6,0,0,0,0,0,0,4,41,412.0,16.0,141.0,1.0,832.0,831.0,820.0,1.0,1949,310,1.0,1996969743.0,27.0,409.0,15000060.0,2018,0.0
Ofaqim,31,21810,14655,109,14546,0,243,0,0,0,572,0,7,0,0,2,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,18,0,0,1118,2,4,0,0,3,5881,0,1,5,1012,3378,2198,0,90,1,0,0,6,62,622.0,0.0,0.0,1.0,29021.0,28820.0,26936.0,201.0,1955,160,0.0,1638257979.0,113.0,601.0,10001893.0,2018,620.0
Or HaGanuz,1294,281,184,0,184,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,58,83,0,6,0,0,0,2,21,212.0,2.0,0.0,1.0,548.0,548.0,548.0,0.0,1989,320,11.0,2421276781.0,716.0,209.0,10004528.0,2018,211.0
Or HaNer,67,616,469,0,469,0,112,0,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,32,0,0,0,302,1,0,0,0,0,0,0,6,61,614.0,37.0,0.0,1.0,754.0,754.0,726.0,0.0,1957,330,15.0,1620260736.0,44.0,651.0,10001829.0,2018,620.0
Or Yehuda,2400,26945,18883,149,18734,1,558,3,0,0,506,0,3,0,0,2,3,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,16,0,4,357,2,2,0,0,1,10274,0,4,12,3228,3456,196,0,98,0,0,0,5,52,512.0,0.0,122.0,1.0,36864.0,36805.0,36041.0,59.0,1950,160,0.0,1863265962.0,1.0,510.0,10001516.0,2018,0.0
Or Aqiva,1020,15949,10300,63,10237,1,195,1,0,0,322,0,7,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,12,0,1,1151,3,0,0,0,1,5793,0,0,7,1418,1122,137,0,53,2,0,0,3,32,324.0,0.0,0.0,1.0,18236.0,18143.0,16787.0,93.0,1951,170,0.0,1927371262.0,10.0,353.0,10004261.0,2018,0.0
Ora,780,840,602,1,601,0,39,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,279,0,0,0,178,56,4,0,6,0,0,0,1,11,111.0,26.0,444.0,1.0,1337.0,1334.0,1279.0,3.0,1950,310,1.0,2145762903.0,734.0,151.0,10002521.0,2018,0.0
Orot,2012,437,319,2,317,0,44,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,43,0,0,0,212,4,0,0,0,0,0,0,6,61,611.0,33.0,143.0,1.0,507.0,507.0,502.0,0.0,1952,310,1.0,1749262782.0,40.0,616.0,10001821.0,2018,420.0
Ortal,4013,248,177,0,177,0,31,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,21,0,0,0,110,2,0,0,0,0,0,0,2,29,292.0,71.0,0.0,1.0,343.0,343.0,343.0,0.0,1978,330,15.0,2712077700.0,859.0,219.0,10004579.0,2018,211.0
Urim,403,448,238,1,237,0,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,13,0,0,0,142,0,1,0,0,0,0,0,6,62,622.0,38.0,0.0,1.0,493.0,492.0,456.0,1.0,1946,330,15.0,1545457936.0,93.0,651.0,10001893.0,2018,620.0
Oranit,3760,6421,4937,10,4927,0,216,0,0,0,576,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,195,0,0,0,0,0,1641,0,0,1,2169,71,36,0,12,1,0,0,7,73,0.0,99.0,145.0,1.0,8807.0,8797.0,8678.0,10.0,1985,180,0.0,1995467087.0,60.0,718.0,10003262.0,2018,0.0
Usha,278,368,260,0,260,0,48,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,20,0,0,0,177,0,0,0,1,0,0,0,3,31,311.0,12.0,222.0,1.0,492.0,492.0,481.0,0.0,1937,330,15.0,2110474459.0,19.0,301.0,10004207.0,2018,0.0
Azor,565,9778,6730,41,6689,0,339,0,0,0,231,0,2,0,0,1,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,0,2,317,1,0,0,0,0,2750,0,2,16,2148,739,76,0,33,0,0,0,5,53,513.0,99.0,123.0,1.0,12854.0,12822.0,12084.0,32.0,1948,170,0.0,1819465899.0,19.0,509.0,10001430.0,2018,0.0
Ahawa,1157,185,143,0,143,0,13,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,28,0,0,0,88,2,0,0,0,0,0,0,6,61,611.0,33.0,143.0,1.0,351.0,351.0,341.0,0.0,1976,350,0.0,1782062796.0,60.0,616.0,10001821.0,2018,420.0
Ahuzzam,821,396,277,0,277,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,190,0,0,0,11,63,1,0,2,0,0,0,6,61,612.0,50.0,0.0,1.0,544.0,538.0,525.0,6.0,1950,310,2.0,1782260687.0,160.0,634.0,10001813.0,2018,0.0
Ahuzzat Baraq,1330,1713,1304,2,1302,0,87,0,0,0,46,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,0,0,0,0,535,0,0,0,516,26,2,0,3,0,0,0,2,23,234.0,9.0,0.0,1.0,2256.0,2256.0,2197.0,0.0,1998,190,0.0,2320072762.0,129.0,254.0,10004394.0,2018,213.0
Ahihud,785,659,512,6,506,0,4,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,340,0,0,0,29,71,8,0,5,0,0,0,2,24,246.0,4.0,241.0,1.0,868.0,868.0,859.0,0.0,1950,310,1.0,2165275698.0,20.0,201.0,10004315.0,2018,212.0
Ahituv,850,714,546,4,542,0,28,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,0,0,201,0,0,1,230,49,2,0,0,0,0,0,4,41,412.0,16.0,141.0,1.0,1099.0,1099.0,1089.0,0.0,1951,310,1.0,1993269934.0,39.0,409.0,15000060.0,2018,0.0
Ahisamakh,804,878,744,2,742,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,512,0,0,0,26,169,5,0,7,0,0,0,4,43,432.0,25.0,142.0,1.0,1374.0,1374.0,1372.0,0.0,1950,310,1.0,1914164919.0,58.0,424.0,10002261.0,2018,0.0
Ahi'ezer,797,1178,1026,4,1022,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,409,0,0,0,13,471,33,0,2,0,0,0,4,43,432.0,40.0,133.0,1.0,1872.0,1871.0,1865.0,1.0,1950,310,2.0,1879365441.0,40.0,425.0,10002261.0,2018,0.0
Atrash,965,1585,514,3,511,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,480,0,0,6,0,0,0,0,0,2,0,1,0,18,1,0,0,0,0,0,0,6,62,623.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,460,0.0,1940057520.0,0.0,699.0,10001937.0,2018,0.0
Ibbim,338,126,35,0,35,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,3,0,0,1,0,0,0,6,61,614.0,37.0,0.0,1.0,277.0,277.0,40.0,0.0,1991,340,0.0,1629760477.0,69.0,651.0,10001829.0,2018,620.0
Eyal,716,391,308,1,307,0,95,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,8,0,0,0,195,0,0,0,0,0,0,0,4,42,421.0,20.0,141.0,1.0,522.0,522.0,515.0,0.0,1949,330,15.0,1982567982.0,67.0,417.0,10002155.0,2018,0.0
Ayyelet HaShahar,77,818,587,2,585,1,124,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,1,0,0,0,50,0,0,0,370,1,2,0,0,0,0,0,2,21,211.0,1.0,0.0,1.0,1134.0,1134.0,1082.0,0.0,1918,330,15.0,2541976987.0,143.0,253.0,10004540.0,2018,211.0
Elon,294,819,621,2,619,0,187,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,13,0,0,0,0,0,92,0,0,1,296,1,1,0,0,0,0,0,2,24,244.0,4.0,0.0,1.0,1020.0,1014.0,987.0,6.0,1938,330,15.0,2206177423.0,217.0,201.0,10004302.0,2018,212.0
Elot,1126,253,164,0,164,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,16,0,0,0,88,0,0,0,0,0,0,0,6,62,625.0,53.0,0.0,1.0,317.0,312.0,294.0,5.0,1962,330,15.0,1960538819.0,41.0,608.0,10001955.0,2018,0.0
Ilaniyya,49,462,305,0,305,0,20,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,115,0,1,0,137,2,1,0,2,0,0,0,2,22,222.0,3.0,0.0,1.0,490.0,484.0,463.0,6.0,1902,310,10.0,2384773998.0,199.0,206.0,10004552.0,2018,214.0
